"","Maker","Genmodel","year","sales"
"1","ABARTH","ABARTH 124",2020,0
"2","ABARTH","ABARTH 500",2020,0
"3","ABARTH","ABARTH 595",2020,2144
"4","ABARTH","ABARTH 695",2020,45
"5","ABARTH","ABARTH PUNTO",2020,0
"6","ABARTH","ABARTH SPIDER",2020,0
"7","ACURA","ACURA TL",2020,0
"8","AIXAM","AIXAM 500",2020,0
"9","AIXAM","AIXAM A751",2020,0
"10","AIXAM","AIXAM COUPE",2020,0
"11","AIXAM","AIXAM CROSSLINE",2020,0
"12","AIXAM","AIXAM CROSSOVER",2020,0
"13","AIXAM","AIXAM MEGA",2020,0
"14","AIXAM","AIXAM SCOUTY",2020,0
"15","ALFA ROMEO","ALFA ROMEO 147",2020,0
"16","ALFA ROMEO","ALFA ROMEO 156",2020,0
"17","ALFA ROMEO","ALFA ROMEO 159",2020,0
"18","ALFA ROMEO","ALFA ROMEO 166",2020,0
"19","ALFA ROMEO","ALFA ROMEO 4C",2020,0
"20","ALFA ROMEO","ALFA ROMEO 8C",2020,0
"21","ALFA ROMEO","ALFA ROMEO BRERA",2020,0
"22","ALFA ROMEO","ALFA ROMEO GIULIA",2020,676
"23","ALFA ROMEO","ALFA ROMEO GIULIETTA",2020,524
"24","ALFA ROMEO","ALFA ROMEO GT",2020,0
"25","ALFA ROMEO","ALFA ROMEO GTV",2020,0
"26","ALFA ROMEO","ALFA ROMEO MITO",2020,0
"27","ALFA ROMEO","ALFA ROMEO SPIDER",2020,0
"28","ALFA ROMEO","ALFA ROMEO STELVIO",2020,679
"29","ALPINE","ALPINE A110",2020,102
"30","ASTON MARTIN","ASTON MARTIN CYGNET",2020,0
"31","ASTON MARTIN","ASTON MARTIN DB11",2020,150
"32","ASTON MARTIN","ASTON MARTIN DB5",2020,0
"33","ASTON MARTIN","ASTON MARTIN DB7",2020,0
"34","ASTON MARTIN","ASTON MARTIN DB9",2020,0
"35","ASTON MARTIN","ASTON MARTIN DB9O",2020,0
"36","ASTON MARTIN","ASTON MARTIN DBS",2020,202
"37","ASTON MARTIN","ASTON MARTIN RAPIDE",2020,15
"38","ASTON MARTIN","ASTON MARTIN VANQUISH",2020,0
"39","ASTON MARTIN","ASTON MARTIN VANTAGE",2020,191
"40","ASTON MARTIN","ASTON MARTIN VIRAGE",2020,0
"41","AUDI","AUDI A1",2020,13292
"42","AUDI","AUDI A2",2020,0
"43","AUDI","AUDI A3",2020,15079
